id,timepoint,cell_type
cell_1307,6,regular
cell_1308,7,regular
cell_1309,8,regular
cell_1310,9,regular
cell_1311,0,regular
cell_1312,1,regular
cell_1313,2,regular
cell_1314,3,regular
cell_1315,4,regular
cell_1316,5,regular
cell_1317,6,regular
cell_1318,7,regular
cell_1319,8,regular
cell_1320,9,regular
cell_1321,0,regular
cell_1322,1,regular
cell_1323,2,regular
cell_1324,3,regular
cell_1325,4,regular
cell_1326,5,regular
cell_1327,6,regular
cell_1328,7,regular
cell_1329,8,regular
cell_1330,9,regular
cell_1331,0,regular
cell_1332,1,regular
cell_1333,2,regular
cell_1334,3,regular
cell_1335,4,regular
cell_1336,5,regular
cell_1337,6,regular
cell_1338,7,regular
cell_1339,8,regular
cell_1340,9,regular
cell_1341,0,regular
cell_1342,1,regular
cell_1343,2,regular
cell_1344,3,regular
cell_1345,4,regular
cell_1346,5,regular
cell_1347,6,regular
cell_1348,7,regular
cell_1349,8,regular
cell_1350,9,regular
cell_1351,0,regular
cell_1352,1,regular
cell_1353,2,regular
cell_1354,3,regular
cell_1355,4,regular
cell_1356,5,regular
